Unnamed: 0,Title,Organism,Source,Strain/Genotype,Cell/Tissue,Description,Library_Strategy,Ribosome_position,Extraction_Protocol,Tags
GSM1513187,GM18486, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18486', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513188,GM18498, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18498', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513189,GM18499, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18499', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513190,GM18501, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18501', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513191,GM18502, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18502', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513192,GM18504, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18504', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513193,GM18505, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18505', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513194,GM18507, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18507', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513195,GM18508, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18508', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513196,GM18510, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18510', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
