study_accession,Run,ScientificName,LIBRARYTYPE
PRJNA321151,SRR3493886,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493887,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493890,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493891,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493894,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493895,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493898,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493899,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493902,Saccharomyces cerevisiae,riboseq
PRJNA321151,SRR3493903,Saccharomyces cerevisiae,riboseq



